index	block	cond	term	ForS	condID	wordID	wordName	imgID	imgName	imgFile	imgType	subType
1	1	TI	TI	indoor	WI4	W10	wwPHONE	Indoor2	utility_room	indoor_utility_room.jpg	indoor	none
2	1	TO	TO	outdoor	WO_1	W7	wwCARRIAGE	Scene2	apartment_building	outdoor_apartment_building.jpg	outdoor	none
3	1	TO	TO	outdoor	WO_3	W5	wwTENNIS	Scene4	residential_neighborhood	outdoor_residential_neighborhood.jpg	outdoor	none
4	1	F	F	FOIL	F2	W12	wwMARBLE	FOIL	FOIL	FOIL	FOIL	FOIL
5	1	TI	TI	indoor	WI5	W3	wwPURSE	Indoor1	berth	indoor_berth.jpg	indoor	none
6	1	TI	TI	indoor	WI2	W13	wwKETTLE	Indoor3	poolroom	indoor_poolroom.jpg	indoor	none
7	1	F	F	FOIL	F3	W11	wwLOBSTER	FOIL	FOIL	FOIL	FOIL	FOIL
8	1	TO	TO	outdoor	WO_4	W2	wwKING	Scene3	rainforest	outdoor_rainforest.jpg	outdoor	none
9	1	TI	TI	indoor	WI3	W8	wwSKILLET	Indoor5	staircase	indoor_staircase.jpg	indoor	none
10	1	TI	TI	indoor	WI1	W6	wwBADGE	Indoor4	organ_loft	indoor_organ_loft.jpg	indoor	none
11	1	TO	TO	outdoor	WO_2	W9	wwRATTLE	Scene5	lake	outdoor_lake.jpg	outdoor	none
12	1	TO	TO	outdoor	WO_5	W4	wwABACUS	Scene1	alley	outdoor_alley.jpg	outdoor	none
13	1	F	F	FOIL	F1	W1	wwTHORN	FOIL	FOIL	FOIL	FOIL	FOIL
